Stcok Full Name,Stock Abbrv,Stock Full Code,Stock Abbrv Code
SamsungElectronics,SamsungElec,KR7005930003,005930
SKTelecom,SKTelecom,KR7017670001,017670
POSCO,POSCO,KR7005490008,005490
KTCorporation,KT,KR7030200000,030200
KoreaElectricPower,KEPCO,KR7015760002,015760
HyundaiMotor,HyundaiMtr,KR7005380001,005380
SamsungSecurities,SamsungSecu,KR7016360000,016360
"ShinhanFinancialGroup Co.,Ltd.",ShinhanGroup,KR7055550008,055550
KiaMotors,KiaMtr,KR7000270009,000270
HyundaiMobis,Mobis,KR7012330007,012330
"SAMSUNG SDI CO.,LTD.","SAMSUNG SDI CO.,LTD.",KR7006400006,006400
SamsungElectroMechanics,SamsungElecMech,KR7009150004,009150
LGELECTRONICS,LGELECTRONICS,KR7066570003,066570
KoreaGasCorporation,Kogas,KR7036460004,036460
HYUNDAI STEEL,HYUNDAI STEEL,KR7004020004,004020
LG Corp.,LG Corp.,KR7003550001,003550
GS Holdings,GS,KR7078930005,078930
KT&G Corporation,KT&G,KR7033780008,033780
KOREA SHIPBUILDING & OFFSHORE ENGINEERING,KSOE,KR7009540006,009540
HanaFinancialGroupInc.,HANAFINANCIALGR,KR7086790003,086790
SK Innovation,SK Innovation,KR7096770003,096770
CJ Corp.,CJ,KR7001040005,001040
LG Display,LG Display,KR7034220004,034220
KB Financial Group,KBFinancialGroup,KR7105560007,105560
"LGCHEM,LTD",LGCHEM,KR7051910008,051910
MIRAE ASSET DAEWOO,MIRAE ASSET DAEWOO,KR7006800007,006800
Doosan Infracore,DSINFRA,KR7042670000,042670
SK hynix,SK hynix,KR7000660001,000660
GS Engineering & Construction Corp,GS E&C,KR7006360002,006360
"E-MART Co., Ltd.",emart,KR7139480008,139480
HANKOOK TIRE & TECHNOLOGY,HANKOOK TIRE & TECHNOLOGY,KR7161390000,161390
NAVER,NAVER,KR7035420009,035420
KoreanAirLines,KAL,KR7003490000,003490
LG Uplus,LG Uplus,KR7032640005,032640
S-OilCorporation,S-Oil,KR7010950004,010950
KoreaZinc,KorZinc,KR7010130003,010130
INDUSTRIALBANKOFKOREA,IBK,KR7024110009,024110
DaelimIndustrial,DaelimInd,KR7000210005,000210
Daesang,Daesang,KR7001680008,001680
POSCO INTERNATIONAL,POSCO INTERNATIONAL,KR7047050000,047050
DoosanHeavyIndustriesandConstruction,DHICO,KR7034020008,034020
"LOTTE SHOPPING CO., LTD.",LOTTE SHOPPING,KR7023530009,023530
LOTTE CHEMICAL CORPORATION,LOTTE CHEMICAL Corp,KR7011170008,011170
Samsung Life Insurance,SAMSUNG LIFE,KR7032830002,032830
SamsungHeavyIndustries,SamsungHvyInd,KR7010140002,010140
"SAMSUNG CARD CO., LTD.",SAMSUNG CARD,KR7029780004,029780
HANWHA AEROSPACE,HANWHA AEROSPACE,KR7012450003,012450
NCsoftCorporation,NCsoft,KR7036570000,036570
HITEJINRO,HITEJINRO,KR7000080002,000080
KOREA INVESTMENT HOLDINGS,KIH,KR7071050009,071050
KOREA AEROSPACE INDUSTRIES,KOREA AEROSPACE,KR7047810007,047810
HyundaiEngineering&Construction,HyundaiEng&Const,KR7000720003,000720
HYUNDAI WIA,HYUNDAI WIA,KR7011210002,011210
HotelShilla,HtlShilla,KR7008770000,008770
"Kangwon Land, Inc.",Kangwonland,KR7035250000,035250
BNK Financial Group Inc.,BNK Financial Group,KR7138930003,138930
DGB Financial Group,DGB Financial Group,KR7139130009,139130
Grand Korea Leisure,GKL,KR7114090004,114090
LGInternational,LGInt,KR7001120005,001120
LG Innotek,LG Innotek,KR7011070000,011070
NH INVESTMENT & SECURITIES,NHIS,KR7005940002,005940
OCI,OCI,KR7010060002,010060
SK Holdings,SK,KR7034730002,034730
